index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-03-27,53373.07,53239.59,53714.90,52516.92,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-27T08:32:11+00:00
nikkei225,2026-03-30,51885.85,52054.68,52054.68,50566.99,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-04T16:10:50+00:00
nikkei225,2026-03-31,51063.72,51382.53,52169.01,50558.91,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-04T16:10:50+00:00
nikkei225,2026-04-01,53739.68,51959.47,53739.68,51902.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-04T16:10:50+00:00
nikkei225,2026-04-02,52463.27,54066.83,54258.48,52273.07,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-04T16:10:50+00:00
nikkei225,2026-04-03,53123.49,53039.40,53426.31,52925.10,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-04T16:10:50+00:00
nikkei225,2026-04-06,53413.68,53205.93,54039.34,53205.93,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-06T08:58:12+00:00
nikkei225,2026-04-07,53429.56,53571.28,53916.35,53156.94,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-07T08:46:34+00:00
nikkei225,2026-04-08,56308.42,54386.65,56424.63,54380.02,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-08T08:46:00+00:00
nikkei225,2026-04-09,55895.32,56199.86,56406.49,55763.05,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-09T08:53:47+00:00
nikkei225,2026-04-10,56924.11,56265.77,57012.77,56251.18,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-10T08:56:35+00:00
nikkei225,2026-04-13,56502.77,56421.46,56765.72,56232.78,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-04-13T09:22:32+00:00
nikkei225,2026-04-14,57877.39,57085.65,57979.82,57010.18,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
